"","nombre_de_gagnant_au_rang9_Euro_Millions_en_europe","nombre_de_gagnant_au_rang9_Euro_Millions_en_france","boule","numéro_de_tirage_dans_le_cycle","annee","Y","jour_de_tirage"
"1",40147,6810,1,0,0,2,0
"2",25029,4764,1,0,0,1,1
"3",41771,8084,0,0,0,0,0
"4",51929,11621,1,1,0,0,1
"5",38042,7044,0,1,0,1,0
"6",22274,4743,1,0,0,1,1
"7",34752,7093,0,0,0,1,0
"8",28860,6073,0,0,0,0,1
"9",37264,7133,1,0,0,1,0
"10",34213,6997,1,0,0,0,1
"11",49723,11222,0,1,0,0,0
"12",25337,4745,1,1,0,1,1
"13",24800,4899,0,0,0,0,0
"14",21786,4309,1,0,0,1,1
"15",27630,5121,1,0,0,1,0
"16",28192,6238,0,0,0,0,1
"17",26054,4598,1,0,0,1,0
"18",25907,5754,1,0,0,1,1
"19",35833,8158,1,0,0,0,0
"20",21674,4277,0,0,0,1,1
"21",29217,6216,1,0,0,0,0
"22",26264,5280,0,0,0,1,1
"23",29622,6526,0,0,0,0,0
"24",18600,3121,1,0,0,1,1
"25",42096,8988,1,0,0,0,0
"26",36293,7877,1,1,0,0,1
"27",26753,5002,1,0,0,1,0
"28",20715,3579,0,0,0,0,1
"29",69133,16218,1,0,0,0,0
"30",33452,6167,1,0,0,2,1
"31",35750,8104,0,0,0,0,0
"32",26506,5872,1,0,0,0,1
"33",42846,9489,0,0,0,0,0
"34",22361,4106,1,0,0,0,1
"35",34297,6410,0,0,0,1,0
"36",26672,5244,0,1,0,1,1
"37",39967,8239,1,1,0,0,0
"38",30577,5513,1,1,0,0,1
"39",33286,5948,0,1,0,0,0
"40",45728,9544,0,1,0,0,1
"41",67615,13972,0,1,0,0,0
"42",28152,5887,1,0,0,0,1
"43",29244,5614,1,0,0,1,0
"44",29818,5685,1,0,0,0,1
"45",45572,9279,0,0,0,0,0
"46",24313,4505,0,0,0,1,1
"47",27598,4621,0,1,0,2,0
"48",34919,6503,0,1,0,0,1
"49",38647,6884,1,1,0,0,0
"50",29238,5280,0,1,0,0,1
"51",43330,7724,1,1,0,0,0
"52",31446,5684,1,1,0,0,1
"53",41656,7491,0,1,0,0,0
"54",44215,8189,1,1,0,1,1
"55",61691,11969,1,1,0,0,0
"56",49165,9388,1,1,0,0,1
"57",72468,19493,1,1,0,0,0
"58",40987,7151,1,1,0,1,1
"59",70884,13635,0,1,0,0,0
"60",53715,9117,0,1,0,0,1
"61",64732,10426,1,1,0,0,0
"62",59217,11495,1,1,0,0,1
"63",76787,16433,1,1,0,0,0
"64",83674,18819,1,1,0,1,1
"65",38137,8584,0,0,0,0,0
"66",25168,4765,0,0,0,0,1
"67",28627,5487,1,0,0,2,0
"68",27336,5085,1,0,0,0,1
"69",28814,4943,0,0,0,1,0
"70",28803,5601,1,1,0,1,1
"71",34120,5943,1,1,0,0,0
"72",29423,5428,1,1,0,1,1
"73",62226,11566,1,1,0,0,0
"74",35754,6397,1,1,0,0,1
"75",44697,7852,0,1,0,1,0
"76",42830,8200,1,1,0,0,1
"77",33185,5789,0,0,0,1,0
"78",0,5178,1,0,0,0,1
"79",41699,8350,0,0,0,0,0
"80",23817,4079,1,0,0,1,1
"81",29386,5790,0,1,0,1,0
"82",31627,6957,1,0,0,0,1
"83",44936,11451,0,0,0,1,0
"84",35889,8150,0,0,0,0,1
"85",35481,6794,0,0,0,0,0
"86",38449,8269,0,0,0,0,1
"87",34192,6785,1,0,0,1,0
"88",35939,5792,1,0,0,0,1
"89",30832,5559,1,0,1,1,0
"90",29548,6308,1,0,1,1,1
"91",41192,8071,1,0,1,0,0
"92",33632,6066,0,0,1,0,1
"93",54426,11948,0,0,1,0,0
"94",24456,4678,1,0,1,0,1
"95",48109,10782,0,0,1,0,0
"96",27327,5320,0,0,1,0,1
"97",0,10088,0,0,1,0,0
"98",32479,5207,1,0,1,0,1
"99",78373,17574,0,1,1,0,0
"100",21754,4476,1,0,1,1,1
"101",27721,5845,0,0,1,1,0
"102",21333,3916,0,0,1,1,1
"103",41353,8177,1,0,1,0,0
"104",31969,6922,0,0,1,0,1
"105",56318,12964,0,0,1,0,0
"106",21927,4267,0,0,1,1,1
"107",24578,4417,1,0,1,1,0
"108",25024,4725,0,0,1,1,1
"109",43876,11144,0,0,1,1,0
"110",24878,6485,0,0,1,1,1
"111",17906,3598,0,0,1,1,0
"112",13096,2919,0,0,1,2,1
"113",20959,4760,1,0,1,0,0
"114",17399,3944,1,0,1,0,1
"115",18322,3601,1,0,1,0,0
"116",14646,3269,0,0,1,1,1
"117",25977,6031,0,1,1,0,0
"118",12558,2548,0,1,1,1,1
"119",20091,4451,0,1,1,1,0
"120",23666,6360,0,0,1,0,1
"121",32242,9026,0,0,1,0,0
"122",19829,4426,0,0,1,0,1
"123",19899,4083,1,0,1,0,0
"124",25736,6312,0,0,1,0,1
"125",23726,4802,0,1,1,0,0
"126",21054,4550,0,1,1,1,1
"127",29810,6611,1,1,1,0,0
"128",20912,3890,0,0,1,0,1
"129",36228,7017,0,0,1,0,0
"130",33423,7345,1,0,1,0,1
